Date,Open,High,Low,Close,Adj Close,Volume,Interest_Rate
2009-01-02,3.067142963409424,3.2514290809631348,3.041429042816162,3.2410709857940674,2.74017333984375,746015200,0.08
2009-01-05,3.327500104904175,3.434999942779541,3.3110709190368652,3.377856969833374,2.855818033218384,1181608400,0.11
2009-01-06,3.426785945892334,3.4703569412231445,3.299643039703369,3.322143077850342,2.8087146282196045,1289310400,0.09
2009-01-07,3.2789289951324463,3.3035709857940674,3.2235710620880127,3.250356912612915,2.748023509979248,753048800,0.11
2009-01-08,3.2296431064605713,3.3267860412597656,3.2157139778137207,3.31071400642395,2.7990520000457764,673500800,0.1
2009-01-09,3.3289289474487305,3.3350000381469727,3.2192859649658203,3.234999895095825,2.7350387573242188,546845600,0.09
2009-01-12,3.2307140827178955,3.249643087387085,3.12678599357605,3.166429042816162,2.6770665645599365,617716400,0.1
2009-01-13,3.1514289379119873,3.2049999237060547,3.0839290618896484,3.132499933242798,2.6483802795410156,798397600,0.1
2009-01-14,3.0799999237060547,3.1160709857940674,3.0257139205932617,3.047499895095825,2.576517105102539,1021664000,0.15
2009-01-15,2.877500057220459,3.004286050796509,2.858928918838501,2.9778571128845215,2.517637014389038,1831634000,0.18
2009-01-16,3.010714054107666,3.01357102394104,2.871428966522217,2.940356969833374,2.4859330654144287,1047625600,0.19
2009-01-20,2.9260709285736084,2.9285709857940674,2.7928569316864014,2.7928569316864014,2.361227512359619,919914800,0.2
2009-01-21,2.8353569507598877,2.9600000381469727,2.8324999809265137,2.958214044570923,2.5010299682617188,1089270000,0.23
2009-01-22,3.1442859172821045,3.2142860889434814,3.065000057220459,3.1557140350341797,2.6680076122283936,1409528400,0.21
2009-01-23,3.1007139682769775,3.2096428871154785,3.0892860889434814,3.1557140350341797,2.6680076122283936,763770000,0.18
2009-01-26,3.1735711097717285,3.248929023742676,3.1535708904266357,3.2014288902282715,2.706657886505127,692238400,0.19
2009-01-27,3.2210710048675537,3.2696430683135986,3.2049999237060547,3.240356922149658,2.7395684719085693,618038400,0.18
2009-01-28,3.2899999618530273,3.392857074737549,3.267857074737549,3.364285945892334,2.8443450927734375,861406000,0.19
2009-01-29,3.3246428966522217,3.369286060333252,3.307142972946167,3.3214290142059326,2.8081114292144775,592729200,0.23
2009-01-30,3.307142972946167,3.3435709476470947,3.2146430015563965,3.2189290523529053,2.721452236175537,651478800,0.23
